original_org_name,variant
CIVIL SOCIETY HUMAN RIGHTS ADVOCACY PLATFORM OF LIBERIA,civil society human rights advocacy platform of liberia
CIVIL SOCIETY HUMAN RIGHTS ADVOCACY PLATFORM OF LIBERIA,CIVIL SOCIETY HUMAN RIGHTS ADVOCACY PLATFORM OF LIBERIA
CIVIL SOCIETY HUMAN RIGHTS ADVOCACY PLATFORM OF LIBERIA,CIVIL SCOIETY HUMAN RIGHTS ADVOCACY PLATFORM OF LIBERIA
CORD GLOBAL,CORD GLBOAL
CORD GLOBAL,CORD GLOBAL
CORD GLOBAL,cord global
COUNCIL OF EUROPE,COUNCIL OF EUROPE
COUNCIL OF EUROPE,council of europe
COUNCIL OF EUROPE,COUNCIL OF EUROEP
EQUALITY FOR ALL FOUNDATION JAMAICA LIMITED,equality for all foundation jamaica limited
EQUALITY FOR ALL FOUNDATION JAMAICA LIMITED,EQUALITY OFR ALL FOUNDATION JAMAICA LIMITED
EQUALITY FOR ALL FOUNDATION JAMAICA LIMITED,EQUALITY FOR ALL FOUNDATION JAMAICA LIMITED
FUNDACION PODER CIUDADANO,fundacion poder ciudadano
FUNDACION PODER CIUDADANO,FUNDACION PODERC IUDADANO
FUNDACION PODER CIUDADANO,FUNDACION PODER CIUDADANO
GLENN FINAU,glenn finau
GLENN FINAU,GLENN FINAU
GLENN FINAU,GLNEN FINAU
HOLD THE CHILD,hold the child
HOLD THE CHILD,HOLD TH ECHILD
HOLD THE CHILD,HOLD THE CHILD
HOPE AND HOMES FOR CHILDREN UKRAINE,HOPE AND HOME SFOR CHILDREN UKRAINE
HOPE AND HOMES FOR CHILDREN UKRAINE,HOPE AND HOMES FOR CHILDREN UKRAINE
HOPE AND HOMES FOR CHILDREN UKRAINE,hope and homes for children ukraine
INTERNATIONAL COMMISSION OF JURISTS,INTERNATIONAL COMMISSION FO JURISTS
INTERNATIONAL COMMISSION OF JURISTS,INTERNATIONAL COMMISSION OF JURISTS
INTERNATIONAL COMMISSION OF JURISTS,international commission of jurists
LAWYERS FOR JUSTICE IN LIBYA,lawyers for justice in libya
LAWYERS FOR JUSTICE IN LIBYA,LAWYERS FOR JUSTICE IN LIBYA
LAWYERS FOR JUSTICE IN LIBYA,LAWYERSF OR JUSTICE IN LIBYA
LEGAL POLICY RESEARCH CENTRE PUBLIC FOUNDATION,legal policy research centre public foundation
LEGAL POLICY RESEARCH CENTRE PUBLIC FOUNDATION,LEGAL POLICY RESEARHC CENTRE PUBLIC FOUNDATION
LEGAL POLICY RESEARCH CENTRE PUBLIC FOUNDATION,LEGAL POLICY RESEARCH CENTRE PUBLIC FOUNDATION
MADAD NGO,madad ngo
MADAD NGO,MADADN GO
MADAD NGO,MADAD NGO
NATIONAL HUMAN RIGHTS COMMISSION,NATIONAL HUMAN RGIHTS COMMISSION
NATIONAL HUMAN RIGHTS COMMISSION,NATIONAL HUMAN RIGHTS COMMISSION
NATIONAL HUMAN RIGHTS COMMISSION,national human rights commission
NLUD P39A 2,NLUD P39A 2
NLUD P39A 2,LNUD P39A 2
NLUD P39A 2,nlud p39a 2
OBSERVATORIO DE DERECHOS Y JUSTICIA,observatorio de derechos y justicia
OBSERVATORIO DE DERECHOS Y JUSTICIA,OBSERVATORIO DE DERECHOS Y JUSTICIA
OBSERVATORIO DE DERECHOS Y JUSTICIA,OBSERVATORIO DED ERECHOS Y JUSTICIA
ONG ASSOCIATION GOMNY,ONG ASSOCIATION GOMNY
ONG ASSOCIATION GOMNY,ong association gomny
ONG ASSOCIATION GOMNY,ON GASSOCIATION GOMNY
ORG INTERNACIONAL MIGRACIONES NICA,ORG INTERNACIONAL MIGRACIONES NICA
ORG INTERNACIONAL MIGRACIONES NICA,org internacional migraciones nica
ORG INTERNACIONAL MIGRACIONES NICA,ORG INTERNACIONAL MIGRACIONES NCIA
PLAN INTERNATIONAL INC ONG,PLAN INTERNATIONAL NIC ONG
PLAN INTERNATIONAL INC ONG,PLAN INTERNATIONAL INC ONG
PLAN INTERNATIONAL INC ONG,plan international inc ong
PROTECTION INTERNATIONAL AISBL,PROTECTION INTERNATIONAL AISBL
PROTECTION INTERNATIONAL AISBL,PROTECTIO NINTERNATIONAL AISBL
PROTECTION INTERNATIONAL AISBL,protection international aisbl
SYRIAN NEGOTIATION COMMISSION,syrian negotiation commission
SYRIAN NEGOTIATION COMMISSION,SYRIAN NEGOITATION COMMISSION
SYRIAN NEGOTIATION COMMISSION,SYRIAN NEGOTIATION COMMISSION
THAI LAWYERS FOR HUMAN RIGHTS,THAI LAWYERS FORH UMAN RIGHTS
THAI LAWYERS FOR HUMAN RIGHTS,thai lawyers for human rights
THAI LAWYERS FOR HUMAN RIGHTS,THAI LAWYERS FOR HUMAN RIGHTS
THE ASIA FOUNDATION,THE ASIA FOUNDATION
THE ASIA FOUNDATION,the asia foundation
THE ASIA FOUNDATION,THE ASIA FOUDNATION
UN OHCHR NIGER,UN OHCHR NIEGR
UN OHCHR NIGER,UN OHCHR NIGER
UN OHCHR NIGER,un ohchr niger
UNDP TURKMENISTAN USD,UNDP TURKMENISTAN USD
UNDP TURKMENISTAN USD,UNDPT URKMENISTAN USD
UNDP TURKMENISTAN USD,undp turkmenistan usd
UNFPA TURKMENISTAN,unfpa turkmenistan
UNFPA TURKMENISTAN,UNFPA TURKMENISTAN
UNFPA TURKMENISTAN,UNFPA TUKRMENISTAN
FEDERATION HANDICAP INTERNATIONAL,federation handicap international
FEDERATION HANDICAP INTERNATIONAL,FEDERATION HNADICAP INTERNATIONAL
FEDERATION HANDICAP INTERNATIONAL,FEDERATION HANDICAP INTERNATIONAL
IYAFP,IYAFP
IYAFP,iyafp
RESOLVE,RESOVLE
RESOLVE,RESOLVE
RESOLVE,resolve
TEACH FOR MADAGASCAR,TEACH FOR MADAGASCAR
TEACH FOR MADAGASCAR,teach for madagascar
TEACH FOR MADAGASCAR,TEACH FRO MADAGASCAR
DAHARI,dahari
DAHARI,DAHARI
DAHARI,DAHAIR
United Nations Children's Fund,United Nations Children's Fund
United Nations Children's Fund,united nations children's fund
United Nations Children's Fund,United Nations Childrens Fund
United Nations Children's Fund,UNICEF
United Nations Children's Fund,United Natiosn Children's Fund
United Nations Development Programme,united nations development programme
United Nations Development Programme,United Nations Development Programme
United Nations Development Programme,United Nations Develompent Programme
Contributions to the Regular Programme,Contributions to the Regular Programme
Contributions to the Regular Programme,contributions to the regular programme
Contributions to the Regular Programme,Cotnributions to the Regular Programme
European Union (EU),european union (eu)
European Union (EU),European Union (EU)
European Union (EU),European Union EU
European Union (EU),Eruopean Union (EU)
European Union,European Union
European Union,uEropean Union
European Union,european union
World Bank/I.B.R.D./Global Partnership for Education,World Bank/I.B.R.D./Global Partnersihp for Education
World Bank/I.B.R.D./Global Partnership for Education,world bank/i.b.r.d./global partnership for education
World Bank/I.B.R.D./Global Partnership for Education,World BankIBRDGlobal Partnership for Education
World Bank/I.B.R.D./Global Partnership for Education,World Bank/I.B.R.D./Global Partnership for Education
World Bank/International Bank for Reconstruction and Development,world bank/international bank for reconstruction and development
World Bank/International Bank for Reconstruction and Development,World Bank/International Bank for Reconstruction and Development
World Bank/International Bank for Reconstruction and Development,World Bank/International Bank for Reconstruction an dDevelopment
World Bank/International Bank for Reconstruction and Development,World BankInternational Bank for Reconstruction and Development
European Commission - Directorate-General for International Partnerships,european commission - directorate-general for international partnerships
European Commission - Directorate-General for International Partnerships,European Commission  DirectorateGeneral for International Partnerships
European Commission - Directorate-General for International Partnerships,European Commission - Directorate-General for nIternational Partnerships
European Commission - Directorate-General for International Partnerships,European Commission - Directorate-General for International Partnerships
Directorate-General for International Partnerships,Directorate-General for International Partnerships
Directorate-General for International Partnerships,Directorate-General fro International Partnerships
Directorate-General for International Partnerships,DirectorateGeneral for International Partnerships
Directorate-General for International Partnerships,directorate-general for international partnerships
European Commission,european commission
European Commission,European Commission
European Commission,European Comimssion
Recipient Government,Recipient Government
Recipient Government,Recipinet Government
Recipient Government,recipient government
European Commission - Directorate General for International Partnerships,European Commission - Directorate General for International Partnerships
European Commission - Directorate General for International Partnerships,European Commission - Directorate General fro International Partnerships
European Commission - Directorate General for International Partnerships,european commission - directorate general for international partnerships
European Commission - Directorate General for International Partnerships,European Commission  Directorate General for International Partnerships
Developing country-based NGO,Developing countrybased NGO
Developing country-based NGO,developing country-based ngo
Developing country-based NGO,Developing country-based NGO
Developing country-based NGO,Developing country-base dNGO
Private sector institution,private sector institution
Private sector institution,Privat esector institution
Private sector institution,Private sector institution
RAOELISON SOLO HERY NATOANDRO*ENTREPRISE MIORA,RAOELISON SOLO HERY NATOANDRO*ENTREPRISE MIORA
RAOELISON SOLO HERY NATOANDRO*ENTREPRISE MIORA,RAOELISON SOLO HERY NATOANDROENTREPRISE MIORA
RAOELISON SOLO HERY NATOANDRO*ENTREPRISE MIORA,raoelison solo hery natoandro*entreprise miora
RAOELISON SOLO HERY NATOANDRO*ENTREPRISE MIORA,RAEOLISON SOLO HERY NATOANDRO*ENTREPRISE MIORA
RAOELISON,RAEOLISON
RAOELISON,RAOELISON
RAOELISON,raoelison
Third Country Government (Delegated co-operation),Third Country Government Delegated cooperation
Third Country Government (Delegated co-operation),Third Coutnry Government (Delegated co-operation)
Third Country Government (Delegated co-operation),third country government (delegated co-operation)
Third Country Government (Delegated co-operation),Third Country Government (Delegated co-operation)
"European Investment Bank (Trust fund via EIB like FEMIP, NIF, Interest subsidies...)","European Investment Bank (Trust fund via EIB like FEMIP, NIF, Interest subsidies...)"
"European Investment Bank (Trust fund via EIB like FEMIP, NIF, Interest subsidies...)","European Investment Bank (Trust fund via EIB like FEMIP, INF, Interest subsidies...)"
"European Investment Bank (Trust fund via EIB like FEMIP, NIF, Interest subsidies...)","european investment bank (trust fund via eib like femip, nif, interest subsidies...)"
"European Investment Bank (Trust fund via EIB like FEMIP, NIF, Interest subsidies...)",European Investment Bank Trust fund via EIB like FEMIP NIF Interest subsidies
AGENCE FRANCAISE DE DEVELOPPEMENT,agence francaise de developpement
AGENCE FRANCAISE DE DEVELOPPEMENT,AGENCE FRANCAISE DE DEVELOPPEMENT
AGENCE FRANCAISE DE DEVELOPPEMENT,AGENCE RFANCAISE DE DEVELOPPEMENT
Central Government,central government
Central Government,Central Government
Central Government,Cenrtal Government
Other public entities in donor country,other public entities in donor country
Other public entities in donor country,Other public entities in donor country
Other public entities in donor country,Other pubilc entities in donor country
BUREAU D'ETUDE ET DE TRAVAUX DE CONSTRUCTION NANALA*BETC NANALA,BUREAU D'ETUDE ET DE TRAVAUX DE CONSTRUCITON NANALA*BETC NANALA
BUREAU D'ETUDE ET DE TRAVAUX DE CONSTRUCTION NANALA*BETC NANALA,BUREAU D'ETUDE ET DE TRAVAUX DE CONSTRUCTION NANALA*BETC NANALA
BUREAU D'ETUDE ET DE TRAVAUX DE CONSTRUCTION NANALA*BETC NANALA,BUREAU DETUDE ET DE TRAVAUX DE CONSTRUCTION NANALABETC NANALA
BUREAU D'ETUDE ET DE TRAVAUX DE CONSTRUCTION NANALA*BETC NANALA,bureau d'etude et de travaux de construction nanala*betc nanala
EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT,european investment bank*banque europeenne d investissement
EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT,EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT
EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT,EUROPEAN INVESTMENT BANKBANQUE EUROPEENNE D INVESTISSEMENT
EUROPEAN INVESTMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT,EUROPEAN INVSETMENT BANK*BANQUE EUROPEENNE D INVESTISSEMENT
MADAGASCAR NATIONAL PARKS,MADAGASCAR ANTIONAL PARKS
MADAGASCAR NATIONAL PARKS,madagascar national parks
MADAGASCAR NATIONAL PARKS,MADAGASCAR NATIONAL PARKS
SOFRECO-SOCIETE FRANCAISE DE REALISATION D'ETUDES ET DE CONSEIL SA*,SOFRECO-SOCIETE FRANCAISE DE REALISATION D'ETUDES ET DE CONSEIL SA*
SOFRECO-SOCIETE FRANCAISE DE REALISATION D'ETUDES ET DE CONSEIL SA*,SOFRECO-OSCIETE FRANCAISE DE REALISATION D'ETUDES ET DE CONSEIL SA*
SOFRECO-SOCIETE FRANCAISE DE REALISATION D'ETUDES ET DE CONSEIL SA*,SOFRECOSOCIETE FRANCAISE DE REALISATION DETUDES ET DE CONSEIL SA
SOFRECO-SOCIETE FRANCAISE DE REALISATION D'ETUDES ET DE CONSEIL SA*,sofreco-societe francaise de realisation d'etudes et de conseil sa*
GINGER SOFRECO,ginger sofreco
GINGER SOFRECO,GINGER SOFRECO
GINGER SOFRECO,GINGER SORFECO
DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*,DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*
DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*,German Corporation for International Cooperation
DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*,GIZ
DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*,deutsche gesellschaft fur internationale zusammenarbeit (giz) gmbh*
DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*,DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENABREIT (GIZ) GMBH*
DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT (GIZ) GMBH*,DEUTSCHE GESELLSCHAFT FUR INTERNATIONALE ZUSAMMENARBEIT GIZ GMBH
AFC AGRICULTURE AND FINANCE CONSULTANTS GMBH,AFC AGRICULTURE AND FINANCE CONSULTANTS GMBH
AFC AGRICULTURE AND FINANCE CONSULTANTS GMBH,afc agriculture and finance consultants gmbh
AFC AGRICULTURE AND FINANCE CONSULTANTS GMBH,AFC AGRICULTURE AND FNIANCE CONSULTANTS GMBH
"GOPA-GESELLSCHAFT FUR ORGANISATIONPLANUNG UND AUSBILDUNG MBH*LIMITEDLIABILITY OF ORGANISATION, PLANNINGAND TRAINING GOPA CONSULTANTS","GOPA-GESELLSCHAFT FUR ORGANISATIONPLANUNG UND AUSBILDUNG MBH*LIMITEDLIABILITY OF ORGANISATION, PLANNINGAND TRAINING GOPA CONSULTANTS"
"GOPA-GESELLSCHAFT FUR ORGANISATIONPLANUNG UND AUSBILDUNG MBH*LIMITEDLIABILITY OF ORGANISATION, PLANNINGAND TRAINING GOPA CONSULTANTS","GOPA-GESELLSCHAFT FUR ORGANISATIONPLANUNG UND AUSBILDUNG MBH*LIMITEDLIABILITY OF ORGANISATION, PLANNINGAND TRIANING GOPA CONSULTANTS"
"GOPA-GESELLSCHAFT FUR ORGANISATIONPLANUNG UND AUSBILDUNG MBH*LIMITEDLIABILITY OF ORGANISATION, PLANNINGAND TRAINING GOPA CONSULTANTS",GOPAGESELLSCHAFT FUR ORGANISATIONPLANUNG UND AUSBILDUNG MBHLIMITEDLIABILITY OF ORGANISATION PLANNINGAND TRAINING GOPA CONSULTANTS
"GOPA-GESELLSCHAFT FUR ORGANISATIONPLANUNG UND AUSBILDUNG MBH*LIMITEDLIABILITY OF ORGANISATION, PLANNINGAND TRAINING GOPA CONSULTANTS","gopa-gesellschaft fur organisationplanung und ausbildung mbh*limitedliability of organisation, planningand training gopa consultants"
INSTITUTIONS ET DEVELOPPEMENT SARL*I&D,INSTITUTIONS ET DEVELOPPEMENT SARL*I&D
INSTITUTIONS ET DEVELOPPEMENT SARL*I&D,INSTITUTIONS ET DEVELOPPEMENT SARLID
INSTITUTIONS ET DEVELOPPEMENT SARL*I&D,institutions et developpement sarl*i&d
PROMAN SA*,PROMAN SA*
PROMAN SA*,PROMAN SA
PROMAN SA*,proman sa*
PROMAN SA*,PROMA NSA*
GOPA AFC GMBH,gopa afc gmbh
GOPA AFC GMBH,GOPA AFC GMBH
GOPA AFC GMBH,GOPA AFC GMHB
AGROTEC SPA,AGROTEC PSA
AGROTEC SPA,agrotec spa
AGROTEC SPA,AGROTEC SPA
ONG CRAFTERS FOR CORPORATES-TOERA-*ONG TOERA,ONG CRAFTERS FOR CORPORATESTOERAONG TOERA
ONG CRAFTERS FOR CORPORATES-TOERA-*ONG TOERA,ong crafters for corporates-toera-*ong toera
ONG CRAFTERS FOR CORPORATES-TOERA-*ONG TOERA,ONG CRAFTERS FOR CORPORATES-TOERA-O*NG TOERA
ONG CRAFTERS FOR CORPORATES-TOERA-*ONG TOERA,ONG CRAFTERS FOR CORPORATES-TOERA-*ONG TOERA
REPOBLIKAN I MALAGASIKARA*REPUBLIQUE DE MADAGASCAR REPUBLIC OF MADAGASCAR,repoblikan i malagasikara*republique de madagascar republic of madagascar
REPOBLIKAN I MALAGASIKARA*REPUBLIQUE DE MADAGASCAR REPUBLIC OF MADAGASCAR,REPOBLIKAN I MALAGASIKAR*AREPUBLIQUE DE MADAGASCAR REPUBLIC OF MADAGASCAR
REPOBLIKAN I MALAGASIKARA*REPUBLIQUE DE MADAGASCAR REPUBLIC OF MADAGASCAR,REPOBLIKAN I MALAGASIKARA*REPUBLIQUE DE MADAGASCAR REPUBLIC OF MADAGASCAR
REPOBLIKAN I MALAGASIKARA*REPUBLIQUE DE MADAGASCAR REPUBLIC OF MADAGASCAR,REPOBLIKAN I MALAGASIKARAREPUBLIQUE DE MADAGASCAR REPUBLIC OF MADAGASCAR
Donor country-based NGO,Donor countrybased NGO
Donor country-based NGO,donor country-based ngo
Donor country-based NGO,Donor country-basde NGO
Donor country-based NGO,Donor country-based NGO
GESCOD,GESCOD
GESCOD,EGSCOD
GESCOD,gescod
SOS VILLAGES D'ENFANTS MADAGASCARR,SOS VILLAGES DENFANTS MADAGASCARR
SOS VILLAGES D'ENFANTS MADAGASCARR,sos villages d'enfants madagascarr
SOS VILLAGES D'ENFANTS MADAGASCARR,SOS VILLAGES D'ENFANTS MADAGASCARR
SOS VILLAGES D'ENFANTS MADAGASCARR,SOS VILLAGSE D'ENFANTS MADAGASCARR
CENTRE MALAGACHE DE LA CANNE ET DUSUCRE,centre malagache de la canne et dusucre
CENTRE MALAGACHE DE LA CANNE ET DUSUCRE,CENTRE MALAGACEH DE LA CANNE ET DUSUCRE
CENTRE MALAGACHE DE LA CANNE ET DUSUCRE,CENTRE MALAGACHE DE LA CANNE ET DUSUCRE
CENTRE MALGACHE DE LA CANNE ET DU SUCRE,centre malgache de la canne et du sucre
CENTRE MALGACHE DE LA CANNE ET DU SUCRE,CENTRE MALGACHE D ELA CANNE ET DU SUCRE
CENTRE MALGACHE DE LA CANNE ET DU SUCRE,CENTRE MALGACHE DE LA CANNE ET DU SUCRE
BANQUE AFRICAINE DE DEVELOPPEMENT*AFRICAN DEVELOPMENT BANK,BANQUE AFRICAINE DE DEVELOPPEMENT*AFRICAN DEVELOPMENT BANK
BANQUE AFRICAINE DE DEVELOPPEMENT*AFRICAN DEVELOPMENT BANK,banque africaine de developpement*african development bank
BANQUE AFRICAINE DE DEVELOPPEMENT*AFRICAN DEVELOPMENT BANK,BNAQUE AFRICAINE DE DEVELOPPEMENT*AFRICAN DEVELOPMENT BANK
BANQUE AFRICAINE DE DEVELOPPEMENT*AFRICAN DEVELOPMENT BANK,BANQUE AFRICAINE DE DEVELOPPEMENTAFRICAN DEVELOPMENT BANK
MULTILATERAL ORGANISATIONS,multilateral organisations
MULTILATERAL ORGANISATIONS,MULTILATERAL ORGANISATIONS
MULTILATERAL ORGANISATIONS,MULTILATERLA ORGANISATIONS
Private sector in recipient country,private sector in recipient country
Private sector in recipient country,Private sector i nrecipient country
Private sector in recipient country,Private sector in recipient country
United Nations Industrial Development Organisation,United Nations Industrial Development Organisation
United Nations Industrial Development Organisation,United Nations Industrial Developmnet Organisation
United Nations Industrial Development Organisation,united nations industrial development organisation
FONDS DE DEVELOPPEMENT AGRICOLE,fonds de developpement agricole
FONDS DE DEVELOPPEMENT AGRICOLE,FONSD DE DEVELOPPEMENT AGRICOLE
FONDS DE DEVELOPPEMENT AGRICOLE,FONDS DE DEVELOPPEMENT AGRICOLE
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET,groupe de recherche et d'echanges technologiques*gret
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET,GROUPE DE RECHERCHE ET D'ECHANGES TCEHNOLOGIQUES*GRET
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET,GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET
GROUPE DE RECHERCHE ET D'ECHANGES TECHNOLOGIQUES*GRET,GROUPE DE RECHERCHE ET DECHANGES TECHNOLOGIQUESGRET
ACTION CONTRE LA FAIM*ACF,ACTION CONTRE LA FAIM*ACF
ACTION CONTRE LA FAIM*ACF,ACTION CONTRE LA FAIMACF
ACTION CONTRE LA FAIM*ACF,action contre la faim*acf
ACTION CONTRE LA FAIM*ACF,ACTIONC ONTRE LA FAIM*ACF
ACTION CONTRE LA FAIM,action contre la faim
ACTION CONTRE LA FAIM,ACITON CONTRE LA FAIM
ACTION CONTRE LA FAIM,ACTION CONTRE LA FAIM
DEUTSCHE WELTHUNGERHILFE EV*GERMANAGRO ACTION,DEUTSCHE WELTHUNGERHILFE EVGERMANAGRO ACTION
DEUTSCHE WELTHUNGERHILFE EV*GERMANAGRO ACTION,DEUTSCHE WELTHUNEGRHILFE EV*GERMANAGRO ACTION
DEUTSCHE WELTHUNGERHILFE EV*GERMANAGRO ACTION,deutsche welthungerhilfe ev*germanagro action
DEUTSCHE WELTHUNGERHILFE EV*GERMANAGRO ACTION,DEUTSCHE WELTHUNGERHILFE EV*GERMANAGRO ACTION
CONSERVATION CENTREE SUR LA COMMUNAUTE MADAGASCAR,CONSERVATION CENTREE SUR LA OCMMUNAUTE MADAGASCAR
CONSERVATION CENTREE SUR LA COMMUNAUTE MADAGASCAR,conservation centree sur la communaute madagascar
CONSERVATION CENTREE SUR LA COMMUNAUTE MADAGASCAR,CONSERVATION CENTREE SUR LA COMMUNAUTE MADAGASCAR
NOVO-COMM SARL,NOVO-COMM SALR
NOVO-COMM SARL,novo-comm sarl
NOVO-COMM SARL,NOVO-COMM SARL
NOVO-COMM SARL,NOVOCOMM SARL
EGIS INTERNATIONAL,EGIS INTERNATIONAL
EGIS INTERNATIONAL,EGIS INTERNTAIONAL
EGIS INTERNATIONAL,egis international
BRL MADAGASCAR SA*,BRL MDAAGASCAR SA*
BRL MADAGASCAR SA*,brl madagascar sa*
BRL MADAGASCAR SA*,BRL MADAGASCAR SA
BRL MADAGASCAR SA*,BRL MADAGASCAR SA*
IRAM INSTITUT DE RECHERCHES ET D'APPLICATIONS DES METHODES DE DEVELOPPEMENT,IRAM INSTITUT DE RECHERCHES ET DAPPLICATIONS DES METHODES DE DEVELOPPEMENT
IRAM INSTITUT DE RECHERCHES ET D'APPLICATIONS DES METHODES DE DEVELOPPEMENT,IRAM INSTITUT DE RECHERCHES ET D'APPLICATIONS DES METHODES DE DEVELOPPEMENT
IRAM INSTITUT DE RECHERCHES ET D'APPLICATIONS DES METHODES DE DEVELOPPEMENT,iram institut de recherches et d'applications des methodes de developpement
IRAM INSTITUT DE RECHERCHES ET D'APPLICATIONS DES METHODES DE DEVELOPPEMENT,IRAM INSTITUT DE RECHERCHES ET D'APLPICATIONS DES METHODES DE DEVELOPPEMENT
FORMATION POUR L'EPANOUISSEMENT ETLE RENOUVEAU DE LA TERRE*,formation pour l'epanouissement etle renouveau de la terre*
FORMATION POUR L'EPANOUISSEMENT ETLE RENOUVEAU DE LA TERRE*,FORMATION POUR L'EPANOUISSEMENT ETLE RENOUVEAU DE LA TERR*E
FORMATION POUR L'EPANOUISSEMENT ETLE RENOUVEAU DE LA TERRE*,FORMATION POUR LEPANOUISSEMENT ETLE RENOUVEAU DE LA TERRE
FORMATION POUR L'EPANOUISSEMENT ETLE RENOUVEAU DE LA TERRE*,FORMATION POUR L'EPANOUISSEMENT ETLE RENOUVEAU DE LA TERRE*
FERT,FERT
FERT,fert
PLANETE URGENCE ASSOCIATION*,PLANETE URGENCE ASSOCIATION
PLANETE URGENCE ASSOCIATION*,PLANETE URGENCE ASSOCIATION*
PLANETE URGENCE ASSOCIATION*,planete urgence association*
PLANETE URGENCE,planete urgence
PLANETE URGENCE,PLANETE URGENCE
PLANETE URGENCE,PLANETE UGRENCE
APDRA PISCICULTURE PAYSANNE,APDRA PISCICULTURE APYSANNE
APDRA PISCICULTURE PAYSANNE,APDRA PISCICULTURE PAYSANNE
APDRA PISCICULTURE PAYSANNE,apdra pisciculture paysanne
GEOSYSTEMS ET DEVELOPPEMENT,GEOSYSTEMS ETD EVELOPPEMENT
GEOSYSTEMS ET DEVELOPPEMENT,geosystems et developpement
GEOSYSTEMS ET DEVELOPPEMENT,GEOSYSTEMS ET DEVELOPPEMENT
GEOMATIQUE ET SERVICES ASSOCIES SARL,GEOMATIQUE ETS ERVICES ASSOCIES SARL
GEOMATIQUE ET SERVICES ASSOCIES SARL,GEOMATIQUE ET SERVICES ASSOCIES SARL
GEOMATIQUE ET SERVICES ASSOCIES SARL,geomatique et services associes sarl
MALAGASY DAIRY BOARD,malagasy dairy board
MALAGASY DAIRY BOARD,MALAGASY ADIRY BOARD
MALAGASY DAIRY BOARD,MALAGASY DAIRY BOARD
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT - C.I.R.A.D. EPIC*,CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMNET - C.I.R.A.D. EPIC*
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT - C.I.R.A.D. EPIC*,CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT - C.I.R.A.D. EPIC*
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT - C.I.R.A.D. EPIC*,CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT  CIRAD EPIC
CENTRE DE COOPERATION INTERNATIONALE EN RECHERCHE AGRONOMIQUE POUR LEDEVELOPPEMENT - C.I.R.A.D. EPIC*,centre de cooperation internationale en recherche agronomique pour ledeveloppement - c.i.r.a.d. epic*
INTERNATIONAL NGO,international ngo
INTERNATIONAL NGO,INTERANTIONAL NGO
INTERNATIONAL NGO,INTERNATIONAL NGO
Private sector in provider country,private sector in provider country
Private sector in provider country,Private sector in porvider country
Private sector in provider country,Private sector in provider country
ECONOMIC DEVELOPMENT BOARD OF MADAGASCAR,ECONOMIC DEVELOPMENT BOARD OF MADAGASCAR
ECONOMIC DEVELOPMENT BOARD OF MADAGASCAR,economic development board of madagascar
ECONOMIC DEVELOPMENT BOARD OF MADAGASCAR,ECONOMIC DEVELOPMENT BOARD OFM ADAGASCAR
FONDATION HIRONDELLE MEDIA FOR PEACE AND HUMAIN DIGNITY,fondation hirondelle media for peace and humain dignity
FONDATION HIRONDELLE MEDIA FOR PEACE AND HUMAIN DIGNITY,FONDATION HIRONDELLE MEDIA FOR PEACE AND HUMAIN DIGNITY
FONDATION HIRONDELLE MEDIA FOR PEACE AND HUMAIN DIGNITY,FONDATION HIRONDLELE MEDIA FOR PEACE AND HUMAIN DIGNITY
